Parti,Durum,Tahmin,Doğru_mu,Max_Skor,Ort_Skor,İlk_Alarm_t
129469,Anormal,Normal,False,3.5131461377972824,0.9924234764259519,
129487,Anormal,Normal,False,3.5086793762780175,-2.204893956250694,
129588,Normal,Normal,True,-1.1861010925996744,-3.1163914036427425,
129705,Normal,Normal,True,0.31168131717333836,-1.4384266430015025,
129706,Normal,Normal,True,0.155141078633652,-1.1872552696715708,
129737,Normal,Normal,True,0.00018442616567515557,-2.9431655068322,
129938,Normal,Normal,True,0.02047846622793248,-1.3188219375067238,
129939,Normal,Normal,True,-1.0341413207597787,-2.9243019269854647,
130246,Anormal,Anormal,True,6.529065377905867,4.7527384453093315,30.0
130565,Anormal,Anormal,True,6.529065377905867,2.171674008078955,89.0
130567,Anormal,Anormal,True,6.5262593003884,6.505915051629391,30.0
130569,Anormal,Anormal,True,6.529065377905867,6.529064681558092,30.0
